ordertypeid,name,validated_cpt_code
524903,SDoH referral: public transportation voucher program,99213
524905,SDoH referral: microtransit program,99466
524961,SDoH referral: automobile share program,99215
524962,SDoH referral: vehicle share program,99203
524964,SDoH referral: bicycle share program,99213
524965,SDoH referral: victim assistance program,99203
524966,SDoH referral: Temporary Assistance for Needy Families Program,99213
524967,SDoH referral: National Elder Fraud Hotline,99402
524968,SDoH referral: Low Income Home Energy Assistance Program,99404
524969,SDoH referral: health insurance navigator program,99203
524971,SDoH referral: English as a second language program,99213
524972,SDoH referral: Children's Health Insurance Program,99203
524973,SDoH referral: child care financial assistance program,99215
524974,SDoH referral: Department of Veterans Affairs Veteran Services officer,99203
524976,SDoH referral: Department of Veterans Affairs Veterans Crisis Line,90792
524977,SDoH referral: Department of Veterans Affairs social work program,90792
524978,SDoH referral: Department of Veterans Affairs facilities locator,99203
524979,SDoH referral: Department of Veterans Affairs mental health services,90785
524980,SDoH referral: health education and literacy program,99406
524981,SDoH referral: telephone assistance program,99452
524982,SDoH referral: Supplemental Security Income eligibility program,99203
524983,SDoH referral: mobile crisis service,99291
524984,SDoH referral: Telecommunication Relay Service,99213
524985,SDoH referral: utility assistance program,99213
524989,SDoH referral: community wellness program,99499
524992,SDoH referral: financial counseling program,99446
524993,SDoH referral: fair employment practice agency,99403
524994,SDoH referral: high school completion program for attainment of diploma,99406
524995,SDoH referral: affordable connectivity program,99213
524996,SDoH referral: Internal Revenue Service free tax preparation program,99403
524998,SDoH referral: intimate partner violence service,99213
525000,SDoH referral: Military One Source directory,99213
525001,SDoH referral: workforce training program,99499
525002,SDoH referral: Department of Veterans Affairs Make the Connection directory,99213
525003,SDoH referral: Department of Veterans Affairs: Fisher House Program,99213
525005,SDoH referral: victim advocate program,99213
525007,SDoH referral: skill-building for social connection program,97156
525008,SDoH referral: home health aide program,99213
525010,SDoH referral: supported employment program,99213
525012,SDoH referral: state funded food assistance program,99403
525014,SDoH referral: restorative justice program,99213
525016,SDoH referral: community arts program,97760
525017,SDoH referral: Yellow Ribbon Program,99406
525018,SDoH referral: vocational education program,99404
525019,SDoH referral: Institute for Veterans and Military Families program,99203
525020,SDoH referral: Head Start Program,99213
525021,SDoH referral: military funded education program,99203
525022,SDoH referral: faith-based community program,99215
525023,SDoH referral: elder abuse education program,99423
525026,SDoH referral: parent support group,99203
525027,SDoH referral: long-term care ombudsman,99221
525028,SDoH referral: Lifeline communication program,99203
525029,SDoH referral: Department of Veterans Affairs National Call Center for Homeless Veterans,99213
525030,SDoH referral: Department of Veterans Affairs Homeless Veteran Chat service,99213
525031,SDoH referral: Department of Veterans Affairs Home Loan Program,99213
525033,SDoH referral: early-college high school program,99215
525034,SDoH referral: digital literacy program,99213
525036,SDoH referral: Department of Veterans Affairs Veterans Justice Outreach program,99203
525037,SDoH referral: Department of Veterans Affairs Veterans Benefits Administration Program,99203
525038,SDoH referral: Department of Veterans Affairs Veteran Readiness and Employment program,99203
525039,SDoH referral: Department of Veterans Affairs National Cemetary Administration service,99403
525040,SDoH referral: Department of Veterans Affairs Military2VA Case Management Program,99213
525042,SDoH referral: Department of Veterans Affairs homeless programs,99213
525043,SDoH referral: Department of Veterans Affairs medical center programs and services,99215
525045,SDoH referral: Department of Veterans Affairs transition assistance program,99215
525046,SDoH referral: Department of Veterans Affairs state veterans homes program,99213
525047,SDoH referral: Department of Veterans Affairs intimate partner violence assistance program,97140
525048,SDoH referral: Department of Veterans Affairs Native American Direct loan program,99203
525050,SDoH referral: cash assistance program for immigrants,99403
525051,SDoH referral: AmericaServes Program,99213
525052,SDoH referral: socially assistive robot program,99213
525054,SDoH referral: Department of Veterans Affairs directory of veterans service organization,99213
525055,SDoH referral: Department of Veterans Affairs caregiver support program,99213
525056,SDoH referral: Department of Veterans Affairs caregiver support line,97156
525057,SDoH referral: continuation of health coverage program,99213
525058,SDoH referral: community-based physical activity program,99213
525059,family therapy referral,97156
525060,SDoH referral: community meals service,99213
525061,SDoH referral: transportation fuel voucher program,99203
525063,SDoH referral: National Immigration Law Center,99203
525064,SDoH referral: violence recovery program,99213
525065,SDoH referral: residential abatement program,99204
525066,SDoH referral: National Domestic Violence hotline,99215
525068,liaison psychiatry service referral,99203
525069,SDoH referral: clothing assistance,99213
525071,pediatric weight management referral,99213
525072,SDoH referral: loneliness artificial intelligence application,99453
525073,physical fitness program referral,97610
525839,memory loss care management referral,99213
525964,sleep medicine otolaryngologist referral,99213
526308,oncology nutritionist referral,97602
527435,individual placement and support referral,99213
535389,caregiver child attachment parent education referral,99203
535392,gender-affirming care specialist referral,99203
535459,community behavioral health agency referral,99213
535479,intimate partner violence services referral,99215
535833,oral and maxillofacial dentist referral,99203
257851,psychologist referral,90791
261128,kyphoplasty referral,22612
269100,neurodevelopmental disabilities specialist referral,99406
270209,craniosacral therapy referral,97140
273505,living smart diabetes education referral,99483
273840,electrolysis referral,97036
277689,travel clinic referral,99203
294301,CKD education referral,99406
297245,sterilization,69210
347975,lung cancer screening referral,77003
355223,diabetic shoe referral,99153
355888,advanced illness management referral,99213
398387,Arrhythmology Consult,99213
423568,adult crisis stabilization referral,99221
439708,"occupational therapist, hand referral",97116
439735,wound care nurse referral,99213
