ordertypeid,name,cpt_code,work_rvu,non_fac_pe_rvu,fac_pe_rvu,mp_rvu
307145,palliative medicine referral,97140,0.43,0.4,0.4,0.01
308907,immunologist referral,99213,1.3,1.35,0.57,0.1
309190,heart transplant referral,99213,1.3,1.35,0.57,0.1
309887,ambulatory services referral,99213,1.3,1.35,0.57,0.1
309949,multiple sclerosis specialist,97112,0.5,0.48,0.48,0.01
311087,lipid clinic referral,99213,1.3,1.35,0.57,0.1
311285,patient health education referral,99486,1.3,0.51,0.51,0.07
311623,hippotherapy,97602,0.0,0.0,0.0,0.0
311665,music therapist referral,97112,0.5,0.48,0.48,0.01
311666,habilitation specialist referral,99213,1.3,1.35,0.57,0.1
311667,respite care facility referral,99221,1.63,0.66,0.66,0.17
312114,"ophthalmology, retina specialist referral",99203,1.6,1.61,0.69,0.16
312625,movement disorder specialist,99213,1.3,1.35,0.57,0.1
312786,gastroenterology surgery referral,99203,1.6,1.61,0.69,0.16
312787,genetic oncology referral,99203,1.6,1.61,0.69,0.16
312827,child life department,97112,0.5,0.48,0.48,0.01
313125,shared medical visit,99231,1.0,0.38,0.38,0.08
313206,vascular access team,97605,0.55,0.74,0.17,0.01
313745,neurointerventionalist referral,95717,2.0,1.05,1.0,0.16
314312,synagis referral,99203,1.6,1.61,0.69,0.16
315325,functional medicine evaluation,99203,1.6,1.61,0.69,0.16
315606,epilepsy monitoring unit,99213,1.3,1.35,0.57,0.1
316135,youth health services,99213,1.3,1.35,0.57,0.1
316406,applied behavior analysis therapy,97156,0.0,0.0,0.0,0.0
316546,heart valve clinic,99213,1.3,1.35,0.57,0.1
317205,reproductive endocrinologist referral,99213,1.3,1.35,0.57,0.1
317386,concussion clinic referral,99213,1.3,1.35,0.57,0.1
318066,endocrine surgery referral,99213,1.3,1.35,0.57,0.1
318128,oncology patient navigator,99213,1.3,1.35,0.57,0.1
318129,orthodontist referral,99213,1.3,1.35,0.57,0.1
320285,breast cancer referral,99213,1.3,1.35,0.57,0.1
323986,hospice care facility referral,99213,1.3,1.35,0.57,0.1
325487,vascular diagnostic test,93930,0.8,4.99,4.99,0.11
325487,vascular diagnostic test,93930,0.0,4.74,4.74,0.04
325487,vascular diagnostic test,93930,0.8,0.25,0.25,0.07
332645,physical therapist hand referral,97110,0.45,0.43,0.43,0.01
334785,hospital referral,99221,1.63,0.66,0.66,0.17
335370,chiropractic and massage referral,97140,0.43,0.4,0.4,0.01
335648,care management referral,99213,1.3,1.35,0.57,0.1
336765,permanent partial disability rating,97110,0.45,0.43,0.43,0.01
336767,weight loss study,99213,1.3,1.35,0.57,0.1
336985,hypertension study referral,99203,1.6,1.61,0.69,0.16
337127,asthma education referral,99213,1.3,1.35,0.57,0.1
337128,vocational training/counseling,97150,0.29,0.24,0.24,0.01
338709,resource advocate referral,99050,0.0,0.0,0.0,0.0
338786,breast center referral,59400,37.0,25.76,25.76,10.06
339225,blood pressure referral,99203,1.6,1.61,0.69,0.16
339226,bmi referral,97602,0.0,0.0,0.0,0.0
339385,pediatric allergist referral,97140,0.43,0.4,0.4,0.01
339877,referral to the american cancer society,99203,1.6,1.61,0.69,0.16
339878,genetic testing referral,99203,1.6,1.61,0.69,0.16
340348,multi-disciplinary evaluation,99213,1.3,1.35,0.57,0.1
340349,functional restoration program,97606,0.6,0.94,0.18,0.01
340352,therapy evaluation,97112,0.5,0.48,0.48,0.01
340918,cancer support services,99203,1.6,1.61,0.69,0.16
341210,pediatric physical therapist referral,97110,0.45,0.43,0.43,0.01
341211,pediatric occupational therapist referral,97113,0.48,0.64,0.64,0.01
341363,pediatric speech therapy,97110,0.45,0.43,0.43,0.01
